City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
322,Beringovskiy,RU,63.05,179.3167,35.37,92,75,4.92,broken clouds
323,Baykit,RU,61.67,96.37,34.79,93,76,2.89,broken clouds
324,Acari,PE,-15.4311,-74.6158,67.53,74,55,3.94,broken clouds
325,Vanimo,PG,-2.6741,141.3028,85.05,70,66,7.2,broken clouds
326,Wawa,NG,9.9022,4.4192,73.99,92,86,4.47,moderate rain
327,Pandan,PH,14.0453,124.1694,83.66,78,66,9.46,broken clouds
328,Lixourion,GR,38.2019,20.4314,64.08,78,1,2.57,clear sky
329,Khasan,RU,42.4308,130.6434,38.98,56,68,16.53,broken clouds
330,Namibe,AO,-15.1961,12.1522,63.43,85,76,2.93,broken clouds
331,Mangrol,IN,21.1167,70.1167,78.78,66,15,9.13,few clouds
332,Sioux Lookout,CA,50.1001,-91.917,53.01,71,17,6.6,few clouds
333,San Rafael,AR,-34.6177,-68.3301,67.1,21,0,9.84,clear sky
334,Gunjur,GM,13.2019,-16.7339,82.29,77,99,8.34,overcast clouds
335,Nalut,LY,30.3333,10.85,67.86,52,97,21.14,overcast clouds
336,Samarai,PG,-10.6167,150.6667,83.66,71,92,9.04,overcast clouds
337,Odweyne,SO,9.4092,45.064,75.34,24,59,12.84,broken clouds
338,Willowmore,ZA,-33.2926,23.4895,45.41,80,0,6.46,clear sky
339,Kuching,MY,1.55,110.3333,77.22,94,20,0.0,few clouds
340,Fairhope,US,30.523,-87.9033,65.68,74,1,0.0,clear sky
341,Cap Malheureux,MU,-19.9842,57.6142,73.47,80,81,5.99,broken clouds
342,Jimo,CN,36.3897,120.4622,51.28,58,26,14.05,scattered clouds
343,Calatayud,ES,41.3535,-1.6432,61.38,73,100,2.48,overcast clouds
344,Ciudad Bolivar,VE,8.1222,-63.5497,84.65,54,58,5.46,broken clouds
